Compound	Occurrences
[cu{nh=c(ome)nc(nh2)=nh}2]	2
[cu{nh=c(ome)nc(nh2)=nh}2](aco)2*2h2o	1
[cu{nh=c(ome)nc(ome)=nh}2]	5
[cu{nh=o(onpr)nc(nh2)=nh}2]	1
[cu{ochtbuch2(1-c{nchchnme})}2(lii)2]	1
[cy2menh]br	1
[cyclo-c6h11nme3][oh]	1
[cyrucl(s)-binpo]sbf6	1
[d10]cyclohexene	1
[d3]acetonitrile	168
[d3]diperoxorhenium	2
[d4]meod	3
[d7]dmf	1
[d8]-thf	1
[d8]thf	8
[dbu][hoac]	37
[dcl2(pph3)2]	1
[deme][tfsi]	4
[dhqd]2phal	2
[di(cyclohexyl)phosphino]bis(2-pyrimidyl)amine	1
[di(tert-butyl)phosphino](4-methylpyridyl)(2-pyrimidyl)amine	1
[di(tert-butyl)phosphino]bis(2-pyrimidyl)amine	1
[di(tropylidenyl)amine][diphenyl(p-tolyl)phosphane]rhodium	2
[dibenzhydryl-(s)-tbu-(iminopyridine-oxazoline)]febr2	4
[dibenzylamine]2ynbn2(thf)	1
[dic8]2[moo4]	1
[dichloro((r)-2,2'-bis(di-4-tolylphosphino)-1,1'-binaphthyl)(.alpha.-picolylamino)ruthenium(ii)]	3
[dichloro((s)-2,2'-bis(di-4-tolylphosphino)-1,1'-binaphthyl)(.alpha.-picolylamino)ruthenium(ii)]	8
[dichloro(3-phenyl-1h-inden-1-yliden)(1,3-dimesityl-4,5-dihydro-imidazol-2-ylidene)(tricyclohexylphosphine)ruthenium(ii)]	17
[dichloro(p-cymene)(triphenylphosphane)ruthenium(ii)]	1
[dicyclohexyl(2',6'-dimethoxybiphenyl-2-yl)phosphane-kappap]aucl	36
[dimethyl dioctadecylammonium]9[euw10o36]	3
[dimethyl(phenyl)silyl]acetylene	1
[dmim][pf6]	15
[dodecyltrimethylammonium]3[dodecatungstophosphate]	4
[dppppd(h2o)2](otf)2	14
[emim][i]	1
[emim][ntf2]	7
[emim][pf6]	22
[emim][seo2(och3)]	5
[emim][tf2n]	3
[et3nh]+hso4-	14
[et3nh][bph4]	1
[et3nh][h2po4]	5
[et3nh][hfe3(co)11]	33
[et3nh][n(so2ph)2]	18
[et3nh]tso	8
[et3o][pf6]	6
[et3pauntf2]	1
[et4n]2[moivo(s4)2]	4
[et4n]2wse4	3
[eta2-bathocuproine]palladium(ii) diacetate	4
[eta4-1,5-cyclooctadiene][triphenylphosphine](n,n-dimethylbenzimidazol-2-ylidene)iridium hexafluorophosphate	10
[eta5-(c5h5)ru(co)(mu-dppm)mn(co)4]	6
[eta5-c5h5rucl(mu2sme)2rueta5-c5h5cl]	8
[eta5-c5me5rucl(mu-sme)2eta5c5me5ru(oh2)]otf	30
[etnh3][no3]	31
[fac-ir(2-phenylpyridine)3]	76
[fc][bph4]	2
[fe((c5h4n)2)3](2+)	1
[fe(2,2'-bipyridine)3](pf6)3	2
[fe(2,2':6',2'':6'',2''':6''',2''''-quinquepyridine)(mecn)2](clo4)2	51
[fe(2,2-bipyridyl)(cn)4(2-)]	1
[fe(2,6-cl2tpp)otf]	21
[fe(2-((4r,5r)-1-((4-(tert-butyl)phenyl)sulfonyl)-4,5-diphenylimidazolidin-2-yl)-6-((4r,5r)-1-((4-(tert-butyl)phenyl)sulfonyl)-4,5-diphenylimidazolidin-2-yl)pyridine)(thf)(otf)2]	2
[fe(5,10,15,20-tetraphenylporphyrin)]bf4	42
[fe(bis(diphenylphosphino)ethane)2(mecn)2][(bf4)2]	4
[fe(bpc)cl(h2o)]	5
[fe(c2h4)4][li(tmeda)]2	19
[fe(c3h4nhnc3h4nhn)3](clo4)3	1
[fe(c5(ch3)5)2]	1
[fe(c5h4p(i-pr)2)2rh(c8h12)]bf4	17
[fe(c5h5)2]pf6	4
[fe(c6h5n2o)(co)(mecn)3][pf6]	6
[fe(cf3so3)2(1-[2?-(6'-methylpyridyl)methyl]-4,7-dimethyl-1,4,7-triazacyclononane)]	2
[fe(cf3so3)2(1-[2?-(pyridyl)methyl]-4,7-dimethyl-1,4,7-triazacyclononane)]	7
[fe(cf3so3)2(me2pytacn)]	8
[fe(cl3terpy)2](clo4)2	14
[fe(cp)2][bf4]	2
[fe(cyclopentadienyl(co)2)]2	11
[fe(cyclpentadienyl)2][trifluoromethanesulfonate]	1
[fe(di(o-imidazol-2-ylidenepyridine)methane)(mecn)2](pf6)2	1
[fe(diisobutyrylmethane)3]	16
[fe(eta5-c5h5)2](1+) or	1
[fe(eta5-c5h5)2][b(3,5-c6h3(cf3)2)4]	3
[fe(eta5-c5h5)2]bf4	12
[fe(eta5-c5me5)2](1+)	2
[fe(etac5h4me)2](1+) or	1
[fe(ii)(bpmen)(ch3cn)2](clo4)2	3
[fe(ii)(cyclam)(ch3cn)2](o3scf3)2	1
[fe(ii)(di(2-pyridyl)methyl)benzamide)2](cf3so3)2	7
[fe(ii)(mep)(ch3cn)2](sbf6-)2	10
[fe(ii)(n,n'-dimethyl-n,n'-bis(2-pyridylmethyl)-1,2-ethylenediamine)(ch3cn)2](clo4)2	10
[fe(ii)(tris(2-pyridylmethyl)amine)(ch3cn)2](otf)2	3
[fe(iii)porphyrin](1+)	2
[fe(iv)(o)(bn-tpen)]2+	1
[fe(l)(ch3cn)2(clo4)2]*3h2o	1
[fe(l)cl2]*0.25h2o	2
[fe(n,n,n',n'-tetramethylethylenediamine)(no)2]	1
[fe(ncme)co(pph2c6h4ch=nch2)2][bf4]	1
[fe(otf)2(bpmen)]	1
[fe(otf)2(mix-bpbp)]	25
[fe(otf)2(tpa)]	1
[fe(pb)2(ch3cn)2](clo4)2	1
[fe(phen)3](clo4)3	5
[fe(phen)3]3+	10
[fe(phthalocyanine)]	96
[fe(prl1)2](bph4)2	1
[fe(prl1)2](otf)2	1
[fe(s-2-naphthyl)2]2(nmp)3	13
[fe(tetraphenylporphyrin)cl]	5
[fe(tmeda)3]cl3	1
[fe(tpfpp)(cph2)]	9
[fe(tris(2-pyridyl)amine)(triflate)2]	5
[fe2cl4(c34h54n4o2)]	2
[fe2o(bis(4,5-pinene-2,2'-bipyridine))4(h2o)2](clo4)4	1
[fe3(co)12]	1
[fe3(h)(co)11]2{fe(dmf)4}	8
[fecl2(3,5-tbu2-sciopp)]	21
[fecl2(dmf)3][fecl4]	1
[fecl3(h2o)6]	1
[fecp(co)2cl]	10
[fecp(co)2i]	1
[fef(octaethylporphyrinate)] hydrate	1
[fef(p(phpph2)3)][bf4]	47
[feii(2,2?:6?,2??:6??,2???:6???,2????-quinquepyridine)(ch3cn)2](clo4)2	2
[feii(ch3cn)(n,n-bis(2-pyridylmethyl)-n-bis(2-pyridyl)methylamine)(clo4)](clo4)	1
[feii(n,n'-(bis(2-pyridylmethyl)-(s,s)-2,2'-bipyrrolidine))(ch3cn)2](sbf6)2	10
[feii(ph-dpah)2](otf)2	3
[feii(tris(2-pyridylmethyl)amine)(ch3cn)2](clo4)2	3
[feiicp(eta5-c6me5ch2)]	1
[feiii(1,4,7-trimethyl-1,4,7-triazacyclononane)(3-chloroacetylacetonate)cl]clo4	2
[feiii(1,4,8,11-tetramethyl-1,4,8,11-tetraazacyclotetradecane)(eta2-o2)](otf)	1
[feiii(5,10,15,20-meso-tetraphenylporphyrin)cl]	8
[feiii(eta5-c5h5)2]+	10
[feiii(hydrotris(1-pyrazolyl)borate)2]clo4	3
[feiii(octakis(4-tert-butylphenyl)-corrolazinato)]	2
[feiii2(n,n,n?,n?-tetrakis(n-ethyl-2-benzimidazolylmethyl)-2-hydroxy-1,3-diaminopropane)(h2o)2(ch3o)(ch3oh)](clo4)4	1
[feiotav(o)(n-methyl-n',n''-bis(2-pyridylmethyl)-1,4,7-triazacyclononane)](trifluoromethanesulfonate)2	5
[feiv(5,10,15,20-tetramesitylporphyrin+?)(o)(2-methylimidazole)]+	2
[feiv(o)(2-[bis(pyridin-2-ylmethyl)]amino-n-quinolin-8-yl-acetamido)]clo4*0.5ch2cl2	3
[feiv(o)(me,hpytacn)(s)](2+)	5
[feiv(o)(n,n-bis(2-pyridylmethyl)-n-bis(2-pyridyl)methylamine)]2+	7
[feiv(o)(tris(2-quinolylmethyl)amine)(acetonitrile)](triflate)2	5
[feo(5,10,15-tris(pentafluorophenyl)corrolato)]	1
[fe{n(sime3)2}2]	12
[fe{phn(o)n(o)ph}3][fecl4]2	13
[fip-cl]2	3
[furneu](cu(ncch3))2(otf)2	1
[furneu](cu2(mu-o))(otf)2	1
[ga(oh)(4,4?-(hexafluoroisopropylidene)bis(benzoicacid))]	1
[gamma(18)o3]-adenosine triphosphate	2
[gamma-1,2-h2siv2w10o40] immobilized on surface-modified sio2	6
[gamma-w10sio36(phpo)2][tba]4	8
[gecl2(1,4-dioxane)]	1
[gold(i)(phenyl)(triphenylphosphine)]	1
[h(3,5-trifluoromethylphenyl)4b]*2et2o	22
[h(et2o)2][b(3,5-(cf3)2c6h3)4]	10
[h(oet2)2]+[[3,5-(cf3)2c6h3]4b]-	72
[h(oet2)2]b(c6f5)4	1
[h(oet2)2]bf4	5
[h-]	1
[h2(oac)4]	1
[h2nipr2][bf4]	2
[h4pvmo11o40]	1
[h4ru4(eta6c6h6)4][bf4]2	1
[hb(3,5-(cf3)2pz)3]ag(thf)	16
[hbim](1+)*bf4(1-)	22
[hc(cmen(2,6-(isopropyl)2c6h3)2)]al(hydride)(triflate)	23
[hc{(me)cn(2,6-ipr2c6h3)}2mgnbu]	1
[hemim][ntf2]	2
[hetba]br	1
[hexakis[n,n'-(naphthalene-1,5-diyl)bis(3-carbamoylbenzene-1,2-diolato)]tetragallate](iii) (12-)	15
[hfcl4(thf)2]	7
[hmim][clo4]	1
[hmim]pf3(c2f5)3	1
[hnet(ch(ch3)2)2][bph4]	1
[hp(ch3)3](1+)	1
[hp(t-bu)3]bf4	53
[hp(t-bu3)]bf4	18
[hpph3]bf4	2
[hpy][bf4]	1
[hre(co)4]n	14
[hru(bis(dimethylphosphino)ethane)cp]	1
[hydroxy(tosyloxy)]iodobenzene	9
[hydroxy(tosyloxy)iodo]benzene	34
[i(coll)2]clo4	1
[i(py)2]bf4	130
[i-pr2etnh][bph4]	3
[i?prndi]ni2(c6h6)	37
[iipr(h)][cl]	79
[iipr(h)][hco3]	2
[imes(h)][hco3]	1
[imescuf]	15
[imesnih]otf	3
[imespd(0)dvds]	1
[imidazolidine(2-(1-methoxycarbonylethoxy)benzylidene)]rucl2	2
[imidazolidine(2-isopropoxy-5-nitrobenzylidene)]rucl2	6
[imim-peg1000-tempo][cucl2-]	16
[imim-tempo][cl]	16
[in(acac)3]	43
[in0.28ga0.72(o2c2h4)0.5(4,4?-(hexafluoroisopropylidene)bis(benzoicacid))]	1
[ipr*inbr3]	5
[ipr-au]+*sbf6-	2
[iprau][ots]	2
[iprauncme]sbf6	17
[iprgacl2][sbf6]	22
[iprpn(h)p]2fe(h)(co)(bh4)	25
[ir((r,r)-pph2ocbn2c3h2nomeph)(cod)](tetrakis(3,5-di(trifluoromethyl)phenyl)borate)	2
[ir((s)-p(cyclohexyl)2ch2c3h3noph)(cod)](tetrakis(3,5-di(trifluoromethyl)phenyl)borate)	1
[ir((s,s)-t-bu-bisp*)(cod)][barf]	1
[ir(1,5-cyclooctadiene)((tbu)c7h10nop(tbu))] tetrakis(3,5-bis(trifluoromethyl)phenyl)borate	11
[ir(1,5-cyclooctadiene)2]pf6	15
[ir(1,5-cyclooctadiene)2]triflate	10
[ir(1-[(4s)-(2-(1-adamantyl)-4-5-dihydrooxazolyl)ethyl]-3-(2,6-diisopropylphenyl)imidazolin-2-ylidene)(cyclo-1,5-octadiene)]tetrakis[3,5-bis(trifluoromethyl)phenyl]borate	2
[ir(2,2':6',2''-terpyridine)2](pf6)3	1
[ir(2-(2,4-difluorophenyl)pyridine)2(1,10-phenanthroline)]pf6	1
[ir(2-phenylpyridine)-2-(4,4?-di-tert-butyl-2,2?-bipyridine)]pf6	11
[ir(2-phenylpyridine)2(4,4?-di-tert-butyl-2,2?-bipyridine)pf6]	20
[ir(2-phenylpyridine)3]	18
[ir(acetylacetonate)(1,5-cyclooctadiene)]	1
[ir(c8h12)((o-tol)2pc6h9nc3h3noch(ch3)2)]barf	4
[ir(c8h12)((ph)2pch2c7h7nsph)]barf	12
[ir(c8h12)((ph)2pn(ch3)c7h7nsph)]barf	4
[ir(c8h12)(och3)]2	1
[ir(c8h14)(pme2ph)2][pf6]	1
[ir(ch2chchch3)(cyclooctadiene)((s,s,sa)-ch2ch(c6h4ome-2)n(ch(ch3)c6h4ome-2)p(oc10h6c10h6o))]otf	1
[ir(ch2chchch3)(dibenzocyclooctatetraene)((s,s,sa)-ch2ch(c6h4ome-2)n(ch(ch3)c6h4ome-2)p(oc10h6c10h6o))]otf	1
[ir(ch2chchch3)(dibenzocyclooctatetraene)((s,s,sa)-ch2ch(ph)n(ch(ch3)ph)p(oc10h6c10h6o))]otf	1
[ir(co)(me)(dppe)(dib)](2+)[b(3,5-c6h3(cf3)2)4](-2)	1
[ir(cod)(.kappa.2-(ra,rc,rc)-(c10h6)2o2pn(chch2(2-meoc6h)4)2h(ethylene)]	7
[ir(cod)(2-tbu-4-((s)-2-pph2-ethyl)-4,5-dihydrooxazole)]barf	1
[ir(cod)(dppe)]pf6	2
[ir(cod)(kappa2-o-tbu2p-c6h4-nme2)](+)pf6(-)	6
[ir(cod)(mu-ome)]2/dtbpy	1
[ir(cod)(ome)]2	24
[ir(cod)(pph3)2]sbf6	1
[ir(cod)(py)pcy3]	1
[ir(cod)(simes)(pyr)]+pf6-	3
[ir(cod)(sncl3)cl(mu-cl)]2	25
[ir(cod)2]barf	22
[ir(cod)2]bf4	54
[ir(cod)2]otf	4
[ir(cod)2]sbf6	16
[ir(cod)2cl2]	1
[ir(cod)biphep]b(3,5-(cf3)2c6h3)4	14
[ir(cod)cl]2	5
[ir(cod)cl]2-4pipr3	1
[ir(cod)pcy3(py)]pf6	3
[ir(cod)pcy3py]pf6	1
[ir(cod)py(3)]+[barf]-	7
[ir(cod)pyr(pcy3)pf6]	4
[ir(cod){p(oph)3}2]otf	13
[ir(cycloocta-1,5-diene)2](tetrakis(3,5-bis(trifluoromethyl)phenyl)borate)	8
[ir(cycloocta-1,5-diene)2]tetrakis[3,5-bis(trifluoromethyl)phenyl]borate	78
[ir(cyclooctadiene)((r,r)-me-bipam)](tetrakis(3,5-bis(trifluoromethyl)phenyl)borate)	2
[ir(cyclooctadiene)2](tetrakis(3,5-bis(trifluoromethyl)phenyl)borate)	13
[ir(cyclooctene)cl]2	3
[ir(df(cf3)ppy)2(dtbbpy)](pf6)	3
[ir(di-t-butylbipyridine)(cyclooctene)(pinacolatoborane)3]	2
[ir(dibenzo[a,e]cyclooctatetraene)cl]2	51
[ir(eta2-1,5-cyclooctadiene)(1,3,4,5-tetraphenylimidazol-2-ylidene)](+)[cl](-)	1
[ir(eta5-c5me5)(c6h4-2-ch2nhch3)(ncch3)](pf6)	5
[ir(h)(co)(pph3)3]	7
[ir(h)2((r)-n-((1,3-dithian-2-yl)methyl)-7'-(bis(3,5-di-tert-butylphenyl)phosphanyl)-1,1'-spirobiindanyl-7-amine)cl]	6
[ir(h)2(thf)2(pph3)2][pf6]	1
[ir(h2)(cod)(meph2p)2]pf6	1
[ir(i)(acetylacetonate)(1,5-cyclooctadienyl)]	16
[ir(i)(cycloocta-1,5-diene)(pmeph2)2]pf6	1
[ir(i)2{eta4:kappa-o,kappa-o-(methylenebis(n-2-methoxyethyl)imidazole-2-ylidene)}](bf4)	10
[ir(iii)(2-phenylpyridine(-h))2(diethyl 2,2'-bipyridine-5,5'-dicarboxylate)]cl	3
[ir(iii)cp*(bpy)(oh2)](so4)	9
[ir(me)(co)(dppe)(dib)][barf4]2	1
[ir(mu-acac-o,o,c3)(acac-o,o)(acac-c3)]2	2
[ir(mu-cl)(1,5-cyclooctadiene)]2	37
[ir(mu-cl)(cis-cyclooctene)2]2	15
[ir(mu-cl)(cyclooctene)2]2	240
[ir(mu-h)(mu-pz)2h2(oso2cf3)(ncme)(pipr3)2]	1
[ir(mu-ome)(cod)]2	11
[ir(n,n'-bis(5h-dibenzo[a,d]cyclohepten-5-yl)-1,2-diaminocyclohexane)][otf]	1
[ir(ncch3)(1,5-cyclooctadiene)((1-methylimidazolyl)(2-methoxybenzyl))][bf4]	1
[ir(och3)((chchc2h4)2)]2	1
[ir(ome)(cod)]2	1
[ir(ome)(cod)]2/tris[3,5-bis(cf3)phenyl]phosphine	16
[ir(phenylpyridine(-1h))2(4,4?-di-tert-butyl-2,2?-bipyridine)](pf6)	338
[ir(phenylpyridyl)2(4,4'-di-tert-butyl-2,2'-bipyridine)]bf4	2
[ir(ppy)2(bpy)][bf4]	29
[ir(ppy)2(dbpy)]cl	3
[ir(ppy)2(dtbbpy)]pf6	16
[ir(pyphp)(cod)]bph4	1
[ir(tbp-py)2(bpy)]pf6	23
[ir(thf)2h2(pph2me)2]pf6	21
[ir(trop2datch)]otf	7
[ir2(cod)2(sncl3)2(cl)2(mu-cl)2]	5
[ir2(cod)2(sncl3)2(cl)2)(mu-cl)2]	12
[ir2(mu-h)(mu-pz)2h2(oso2cf3)(ncme)(pipr3)2]	2
[ir2(ome)2(1,5-cyclooctadiene)2]	83
[ir2h2i3((rac)-binap)2]+i-	17
[irbr(co)((r)-(+)-binap)(dim)](sbf6)2*ch2cl2	8
[irbr(co)(dim)((r)-(+)-binap)](sbf6)2	17
[ircl((s,s)-me-tfb*)]2	7
[ircl(co)(pph3)2]	14
[ircl(co)3]n	10
[ircl(cod)(ipr)]	5
[ircl(cod)2]2	19
[ircl(cod)]2	2
[ircl(coe)2]2	3
[ircl2(eta5-c5me4h)]2	1
[ircl{(r)-(s)-ppfpph2}]2*0.2c5h12	1
[ircod(pph2me)2]pf6	1
[ircp*(otf)2(in-bu)]	2
[ircp*cl2]2	38
[irh(2-acetylphenyl)(acetone)(pph3)2]sbf6	10
[irh(s)-((4,4?-bi-1,3-benzodioxole)-5,5?-diyl)bis(diphenylphosphine)2(mu-cl)3]cl	5
[irh(s)-4,4?-bi((2,2-difluoro-1,3-benzodioxole)-5,5?-diyl)bis(diphenylphosphine)2(mu-cl)3]cl	20
[irh2(thf)2(pph2me)2]pf6	32
[iridium(ch2chch2)(c6h2(cl)(no2)coo)((r)-2,2'-bis(diphenylphosphino)-5,5'-dichloro-6,6'-dimethoxy-1,1-biphenyl)]	12
[iridium(ch2chch2)(c6h2(cl)(no2)coo)((s)-2,2'-bis(diphenylphosphino)-5,5'-dichloro-6,6'-dimethoxy-1,1-biphenyl)]	1
[iridium(dihydride)(chloride)((3,5-(tbu)2-c6h3)2p)(c17h10)nhchc5h3n(c(ch3)3)]	11
[iridium(dihydride)(chloride)((3,5-(tbu)2-c6h3)2p)(c17h10)nhchc5h3n(ch3)]	3
[iridium(i)(c6h9n(p(c6h4ch3)2)(c3h3on(ch(ch3)2))(cod)](1+)	7
[iridium(i)(c6h9n(pph2)(c3h3on(c(ch3)3))(cod)](1+)	7
[iridium(i)(c6h9n(pph2)(c3h3on(ph))(cod)](1+)	10
[iridium(iii)(2-phenylpyridine)3]	374
[irmeco(dppe)(dib)][b(c6f5)4]2	9
[iron tetracarbonyl]	7
[iron(ii)(h2o)6](perchlorate)2	1
[iron(ii)(salen)] complex	2
[k 2*2*2]18f	1
[k(dmf)2][(tbuo)cuc2f5]	1
[k(oet2)][mo(cph)(triphenylsilanolate)4]	9
[k(oet2)][mo(cph)(tris(p-methoxyphenyl)silanolate)4]	4
[k*18-crown-6]icl2	1
[k-18-crown-6-ether]*[(hs)2fe(no)2]	1
[k-18-crown-6][menhso2(p-c6h4(ch2)3ch3)]	1
[k/k222]+(18f)-	2
[k2(h2o)3{(h2o)0.5(at)me10cb[5]}][pdcl4]	19
[k?2.2.2]+/18f-	1
[kappa5-n,n,n,n,c-(me3sinch2ch2)2nch2ch2nsime2ch2]zr	20
[kryptofix2.2.2]-19f complex	1
[k{(me)ni[n(sime3)2,6-diisopropylphenyl]2}]	2
[k{ch(sime3)2}]	1
[la(5,5',5''-benzene-1,3,5-triyltrithiophene-2-carboxylato)]	1
[la(n,n'-bis(2,6-dimethylphenyl)formamidinate)3(thf)]	2
[la(n,n'-bis(o-tolyl)formamidinate)3(thf)2]	7
[la2(nitrilotri(methylenephosphonic) acid(3-))2(h2o)4]*4.5h2o	3
[la{n(sihme2)2}2{ch(pph2nsime3)2}]	13
[li(et2o)2.8][b(c6f5)4]	1
[li(et2o)2][b(c6f5)4]	1
[li(n(c(ch3)2ch2)2ch2)al(ch2ch(ch3)2)3]	1
[li(thf)4][y(ch2sime3)4]	1
[li(thf)4][yb{(r)-c20h12n2(c10h18)}2]	3
[li(thf)4][y{(r)-c20h12n2(c10h18)}2]	1
[li(thf)4][y{(r)-c20h12n2(c10h22)}2]	5
[li(tmeda)]2[fe(c2h4)4]	32
[li(triglyme)1][ntf2]	4
[li3(thf)4][(binolate)3pr(thf)]路thf	1
[li][nhph]	5
[li{ru[(s)-phgly]2[(s)-binap]}]cl	2
[manganese(i)pentacarbonyl(bromide)]	249
[mcm-41]-sm[n(sihme2)2]x(thf)y	1
[me(n-c8h17)3n]hso4	15
[me-duphos monoxide]2*cuotf	3
[me2alteme]2	4
[me2n(1h-1,2,3-triazolo[4,5-b]pyridinyl)ch=]me2n 3-oxide*pf6	1
[me2n]3p=np(=net)[nme2]2	89
[me2nh2]-[rucl(s-binap)]2(mu-cl)3+	1
[me2si(.eta.(5)-c5me4)((t)bun)]ybch(tms)2	3
[me2si(c5me4)ncme3]zrme2	1
[me2si(eta5-c5me4((t-bun)]ybch(tms)2	1
[me2si(eta5-c5me4)(t-bun)]smch(tms)2	1
[me2si(eta5-c5me4)(t-bun)]th(nme2)2	6
[me2si(eta5-c5me4)(t-bun)]u(nme2)2	11
[me2si(eta5-me4c5)(t-bun)]th(nme2)2	3
[me2si(eta5-me4c5)(t-bun)]u(nme2)2	3
[me3pyf]pf6	46
[me3si)2n]3yb(mu-cl)li(thf)3	3
[me4n][(aco)3bh]	12
[me4n][bf4]	15
[me4n]cl	1
[me4tbuxphosau]sbf6	19
[mecnau((1,1?-biphenyl-2-yl)-di-tert-butylphosphine)]+sbf6?	780
[men(n-c8h17)3]12[wzn3(znw9o34)2]	1
[men(n-c8h17)3][wzn3(znw0o34)2]	1
[meoc9h5nch(oh)c7h11n(chch2)ch2(3,5-(cf3)2c6h3)]cl	1
[meoc9h5nch(oh)c7h11n(chch2)ch2(4-cf3c6h4)]cl	1
[meoc9h5nch(oh)c7h11n(chch2)ch2c6h5]cl	9
[mep(octyl)3][ocooch3]	40
[mes2nh2](+)[o3sc6f5](-)	2
[mes3pau]ntf2	15
[mesncme)2chmg]2	2
[meso-5,10,15,20-tetrakis-(2,6-difluorophenyl)porhpyrinato]-iron(iii) chloride	2
[meso-tetrakis(sulfonatomesityl)porphyrinato]iron(iii)	2
[mg((2,6-diisopropylphenyl)nc(ch3)chc(ch3)n(2,6-diisopropylphenyl))(n(sime3)2)]	1
[mg((n(2,4,6-trimethylphenyl)cme)2ch)]2	1
[mg((n(2,6-diisopropylphenyl)cme)2ch)]2	1
[mg(anthracene)(thf)3]	1
[mg(benzyl)2]	1
[mg(ch2sime3)2]	3
[mg,al(oh)x][(moo4(2-))(no3(-))]	1
[mgbr](1+)*[n-bu2snbrih](1-)	7
[mgbr](1+*[n-bu2snbrih](1-)	1
[mg{n(sime3)2}2(thf)2]	4
[mim-toh][oms]	5
[mmim][i]	54
[mmim]cl	8
[mn(2,6-cl2-tpp)cl]	14
[mn(2,6-cl2tpp)cl]	10
[mn(bipy)2(cf3so3)2]	4
[mn(cf3so3)2(h,mepytacn)]	18
[mn(co)5]2	69
[mn(eta5-c5h4me)(co)3]	10
[mn(ii)[(s,s)-pdp](cf3so3)2]	3
[mn(iii)(tf4tmap](5+)	1
[mn(iii)(tf4tmap](5+)(cf3so3(1-))5	1
[mn(iv)(o)(bqcn)(h2o)](2+)	3
[mn(iv)(tf4tmap)(o)(oh)](3+)	1
[mn(iv)l2]	2
[mn(meso-tetrakis(2,3,5,6-tetrafluoro-n,n,n-trimethyl-4-aniliniumyl)porphyrinato)](cf3so3)5	1
[mn(n,n'-bis(salicylidene(-2h))ethylenediamine)]cl	1
[mn(pic)3]	12
[mn(tpp)]otf	5
[mn(tpp)]sbf6	5
[mn(v)(tf4tmap)(o)2](3+)	3
[mn2(1,4,7-tritosyl-1,4,7-triazacyclononane)2(mu-o)3](pf6)2*h2o	3
[mn2o2](4+)	2
[mnbr(co)5]	13
[mniii(1,4,7,10-tetramethyl-1,4,7,10-tetraazacyclododecane)(o2)]+	1
[mniii(2-((2-(2-(2-(2-hydroxybenzylideneamino)phenylamino)propylamino)phenylimino)methyl)phenolato)]cl	14
[mniv(4,11-dimethyl-1,4,8,11-tetraazabicyclo[6.6.2]hexadecane)(oh)2](pf6)2	1
[mniv(o)(h2o)(n,n'-dimethyl-n,n'-bis(8-quinolyl)cyclohexane-1,2-diamine)]2+	3
[mniv(o)(n,n-bis(2-pyridylmethyl)-n-bis(2-pyridyl)methylamine)?sc(cf3so3)3?sc(cf3so3)3]2+	1
[mnv(o)(octakis(p-tertbutylphenyl)corrolazinato3-)(cn)]?	5
[mo(.mu.-cl)(sncl3)(co)3(ncch3)2]	22
[mo(c7h7)(co)3]	7
[mo(chme2ph)(n-(2,6-(i-pr)2c6h3))(ocme(cf3)2)2]	1
[mo(co)3(c7h8)]	1
[mo(co)3(ch3cn)3]	30
[mo(co)3(cyclopentadienyl)cl]	15
[mo(eta3-c3h5)br(co)2(ncch3)2]	2
[mo(h)(cl)(p(ch3)3)3(n(c6h3(ch3chch3)2))]	8
[mo(mecn)3(co)3]	1
[mo(pp3cy)(nn(tms)2)]	1
[mo2o5(oh)](1-)	2
[mo3s4h3(dmpe)3](bph4)	20
[mocl5]	105
[moh4(ph2pch2ch2pph2)2]	3
[moo2(ch3)2(n,n-p-tolyl-2,3-dimethyl-1,4-diazabenzene)]	1
[moo2cl2(thf)2]	10
[moo5(oas(n-c12h25)3)(h2o)]	2
[morph][f]	10
[movio2(acetylacetone)2]	10
[movio2{h(2,6-diformyl-4-methylphenol)(benzoylhydrazide)2}(methanol)]	1
[movio2{h-(2,6-diformyl-4-methylphenol)(benzoylhydrazide)2}(methanol)]	2
[mo{(t-bu)(3,5-dimethylphenyl)n}3]	33
[msim]no3	14
[mu-cl(aupmes3)2]bf4	2
[n(n-bu)4]br	1
[n(nbu)4][b(c6f5)4]	20
[n(propyl)4]2[pd2(.mu.-br)2br2(4-fluorophenyl)2]	1
[n(propyl)4]2[pd2(.mu.-br)2br2(phenyl)2]	1
[n,n'-bis(3,5-di-tertbutylsalicylidene)-1,2-cyclohexanediimine]cocl	2
[n,n'-bis(3,5-ditbuc6h2ch-2-o-)-1,2-din-cyclohexan]clcr(iii)	2
[n,n'-bis(5-sulfonatosalicylidene)-1,2-diaminoethane]copper disodium salt	64
[n,n'-bis(salicylidene)ethylenediamine]cobalt(ii)	1
[n,n'-di(mes)imidazolidin-2-yl](cl2)ru=ch-2,4,5-(meo)3-c6h2	4
[n,n'-di(mes)imidazolidin-2-yl](cl2)ru=ch-2-ipro-5-no2-c6h3	5
[n,n'-dimethyl-1,3-propanediamine-cationized haemoglobin] [poly(ethylene glycol) 4-nonylphenyl 3-sulfopropyl ether] salt	1
[n,n?-bis((2?-pyridine)-methylene)]-1,2-diaminocyclohexane	9
[n,o-bis(trimethylsilyl)trifluoroacetamide]	2
[n-(2-pyridyl)ch2-2-oh-3,5-(t-bu)2-c6h2-amine][mo(vi)o2]2o	1
