Compound	Occurrences	pubchem_isosmiles
amberlyst-15 strong acid resin	2	empty
amberlyst-15 sulfonic acid resin	1	empty
amberlyst-15(h(1+))	1	empty
amberlyst-15(h+ form)	1	empty
amberlyst-15(r)	5	empty
amberlyst-15+	1	empty
amberlyst-15.(r).	13	empty
amberlyst-15h	2	empty
amberlyst-15tm	4	empty
amberlyst-15庐	2	empty
amberlyst-15庐 resin	1	empty
amberlyst-25 resin	1	empty
amberlyst-a15	3	empty
amberlyst-h(1+)	1	empty
amberlyst-h-15	1	empty
amberlyst-h15	1	empty
amberlyst-ir-120(plus)	1	empty
amberlyst.(r).	2	empty
amberlyst.(r). 15	1	empty
amberlyst.(r). 15 hydrogen	1	empty
amberlyst.(r).15	2	empty
amberlyst15	8	empty
amberlysttm	1	empty
amberlysttm-15	1	empty
amberlyst庐 - 15	3	empty
amberlyst庐 15	23	empty
amberlyst庐 15 ion exchange resin	1	empty
amberlyst庐 a26 (oh-form)	8	empty
amberlyte ir 120	6	empty
ambersep 900 (oh-)	3	empty
ambersep 900 (oh? form)	4	empty
ambersep 900 oh	11	empty
ambersep 900(r)oh	3	empty
ambersep 900-oh ion-exchange resin	1	empty
ambersept 900 hydroxide form	1	empty
amberstep 900 (oh form)	2	empty
amberyst 15	1	empty
ambrlite irc-50	2	empty
amide (20)	1	empty
amide coupling agent	7	empty
amido pincer complex of nickel chloride catalyst	6	empty
amidosulfamic acid	220	S(N)(=O)(=O)N
amidosulfonyl chloride	419	NS(=O)(=O)Cl
amidosulfuric acid fluoride	7	S(=O)(=O)(N)F
amidosulphuric acid	11	S(O)(=O)(=O)N
amidotriphosphate sodium salt	2	[Na+]~P([O-])(=O)(OP(=O)([O-])OP(=O)([O-])[O-])N~[Na+]~[Na+]~[Na+]
amine	17	CCCC[C@@H]1N(N=C(S1)C)C(=NC2=NN=C(S2)C)N3CCN(CC3)/C(=N\C4=NN=C(S4)C)/N5[C@H](SC(=N5)C)CCCC
amine base	5	empty
amine functionalized polymer	5	empty
amine vs or vt	1	empty
amine-group functionalized sba-15	1	empty
amine-terminated polymer*rucl3 complex	12	empty
amines	1	empty
aminium salt	2	empty
amino aminoalcohol	3	NNO
amino sulfide	17	NSN
amino sulphate	1	S(=O)(=O)(ON)[O-]
amino-borane complex in a zirconium metal-organic framework	3	empty
amino-functionalized [zr6o4(oh)4(o2c-c6h4-co2)6], uio-66(nh2)	1	empty
amino-phosphonate	1	NP([O-])([O-])=O
aminoacetaldehyde	1	NCC=O
aminoacid functionalized polyallylamine	1	empty
aminobiphenyl(xphos)palladium chloride	15	empty
aminobromide	3	NBr
aminocyclopentadienylruthenium	6	N[Ru]C1C=CC=C1
aminoethyl alcohol	2	NCCO
aminoiminosulfinic acid	2	NN=S(=O)O
aminolysin-s	3	empty
aminomethyl polystyrene	1	empty
aminomethyl resin	3	empty
aminomethyl-cyclohexane	1	NCC1CCCCC1
aminomethylated polystyrene	12	empty
aminomethylated polystyrene resin ehl	7	empty
aminomethylated resin	1	empty
aminomethylpiperidinyl silica gel	1	empty
aminomethylpolystyrene	13	empty
aminomethylpolystyrene resin	33	empty
aminomethylpolystyrol resin	1	empty
aminomethyltrimethylsilane	2	NC[Si](C)(C)C
aminophenylene-bridged hybrid mesoporous polymer	1	empty
aminopropyl silica gel	2	empty
aminopropyl-grafted mesoporous silica	1	empty
aminopropyl-mcm type silica	6	empty
aminopropyl-silica	12	empty
aminopropylsilane on starch-polyalkane composite material	1	empty
aminosulfonic acid	273	NS(=O)(=O)O
aminotriazole	3	NC=1N=NNC1
ammonia	22775	N
ammonia - [(2)h]borane (1/1)	4	empty
ammonia ethyl alcohol	1	C(C)O~N
ammonia methyl alcohol	3	CO~N
ammonia monohydrate	3	O~N
ammonia-borane	23	B~N
ammonia-n-oxide	2	empty
ammonium  iodide	20	[I-]~[NH4+]
ammonium acetate	6284	C(C)(=O)[O-]~[NH4+]
ammonium acetate buffer	11	empty
ammonium acetate-acetic acid	1	C(C)(=O)O~C(C)(=O)[O-]~[NH4+]
ammonium azide	7	[N-]=[N+]=[N-]~[NH4+]
ammonium benzoate	1	C(C1=CC=CC=C1)(=O)[O-]~[NH4+]
ammonium biborate tetrahydrate	2	empty
ammonium bicarbonate	59	C([O-])(O)=O~[NH4+]
ammonium bicarbonate buffer	6	empty
ammonium buffer	8	empty
ammonium carbamate	24	C(N)([O-])=O~[NH4+]
ammonium carbonate	5	C([O-])([O-])=O~[NH4+]~[NH4+]
ammonium cerium (iv) nitrate	1844	[N+](=O)([O-])[O-]~[Ce+4]~[NH4+]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]
ammonium cerium nitrate	1	[N+](=O)([O-])[O-]~[Ce]~[NH4+]
ammonium cerium(iii) nitrate	1	[N+](=O)([O-])[O-]~[Ce+3]~[NH4+]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]
ammonium cerium(iv) nitrate	2711	[N+](=O)([O-])[O-]~[Ce+4]~[NH4+]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]
ammonium cerium(vi) nitrate	4	[N+](=O)([O-])[O-]~[Ce+6]~[NH4+]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]
ammonium chloride	11939	[Cl-]~[NH4+]
ammonium chloride-trimethylaluminium	2	C[Al](C)C~[Cl-]~[NH4+]
ammonium deuteroxide	1	[O-][2H]~[NH4+]
ammonium dichromate	2	[Cr](=O)(=O)([O-])O[Cr](=O)(=O)[O-]~[NH4+]~[NH4+]
ammonium disulfite	1	S(=O)([O-])OS(=O)[O-]~[NH4+]~[NH4+]
ammonium dithiocarbamate	2	C(N)([S-])=S~[NH4+]
ammonium edta	1	empty
ammonium ferric sulfate	1	S(=O)(=O)([O-])[O-]~[Fe+3]~[NH4+]~S(=O)(=O)([O-])[O-]
ammonium fluoride	582	[F-]~[NH4+]
ammonium formate	2767	C(=O)[O-]~[NH4+]
ammonium formate-d2	1	empty
ammonium heptamolybdate	113	empty
ammonium heptamolybdate tetrahydrate	14	N~N~N~N~N~N~O~O~O~O~O[Mo](=O)(=O)O~O[Mo](=O)(=O)O~O[Mo](=O)(=O)O~O=[Mo](=O)=O~O=[Mo](=O)=O~O=[Mo](=O)=O~O=[Mo](=O)=O
ammonium hexafluorophosphate	13	F[P-](F)(F)(F)(F)F~[NH4+]
ammonium hexafluorosilicate	2	F[Si-2](F)(F)(F)(F)F~[NH4+]~[NH4+]
ammonium hydrogen carbonate	631	C(O)([O-])=O~[NH4+]
ammonium hydrogen difluoride	17	[NH4+]~F~[F-]
ammonium hydrogen fluoride	9	F~[NH4+]
ammonium hydrogen sulfate	1	S(=O)(=O)(O)[O-]~[NH4+]
ammonium hydrogen sulfite	6	S(=O)(O)[O-]~[NH4+]
ammonium hydrogensulfate	10	S(=O)(=O)(O)[O-]~[NH4+]
ammonium hydrosulphide	4	[SH-]~[NH4+]
ammonium hydroxide	8623	[OH-]~[NH4+]
ammonium hydroxide hydrochloride	36	Cl~[OH-]~[NH4+]
ammonium hydroxybenzotriazole	1	OC1=CC=CC=2NN=NC21~[NH4+]
ammonium hypophosphate	2	P(=O)([O-])([O-])P(=O)([O-])[O-]~[NH4+]~[NH4+]~[NH4+]~[NH4+]
ammonium hypophosphite	29	[PH2](=O)[O-]~[NH4+]
ammonium hypophosphorous acid	20	[PH2](=O)O~[NH4+]
ammonium iodate	1	I(=O)(=O)[O-]~[NH4+]
ammonium iodide	1	[I-]~[NH4+]
ammonium iron sulfate	1	S(=O)(=O)([O-])[O-]~[Fe+]~[NH4+]
ammonium iron(iii) sulfate	3	S(=O)(=O)([O-])[O-]~[Fe+3]~[NH4+]~S(=O)(=O)([O-])[O-]
ammonium iron(iii) sulfate dodecahydrate	15	O~O~O~O~O~O~O~O~O~O~O~O~S(=O)(=O)([O-])[O-]~[Fe+3]~[NH4+]~S(=O)(=O)([O-])[O-]
ammonium metavanadate	24	[NH4+]~[O-][V](=O)=O
ammonium molibdate	40	[NH4+]~O~[O-2]~[Mo]
ammonium molybdate	4	[NH4+]~[NH4+]~[O-][Mo](=O)(=O)[O-]
ammonium molybdate (vi) tetrahydrate	2	empty
ammonium molybdate tetrahydrate	2	empty
ammonium molybdate(vi) tetrahydrate	15	[NH4+]~O~O~O~O~[O-][Mo](=O)(=O)[O-]~[O-][Mo](=O)(=O)[O-]~[O-][Mo](=O)(=O)[O-]~[O-][Mo](=O)(=O)[O-]~[O-][Mo](=O)(=O)[O-]~[O-][Mo](=O)(=O)[O-]~[O-][Mo](=O)(=O)[O-]
ammonium molybdophosphate tetrahydrate	1	empty
ammonium monometaphosphate	1	empty
ammonium n-phenyldithiocarbamate	1	C1=CC=C(C=C1)NC(=S)[S-]~[NH4+]
ammonium nickel(ii) sulfate hexahydrate	1	O~O~O~O~O~O~S(=O)(=O)([O-])[O-]~[Ni+2]~[NH4+]
ammonium nitrate	304	[N+](=O)([O-])[O-]~[NH4+]
ammonium nitrite	6	N(=O)[O-]~[NH4+]
ammonium paramolybdate	2	N~N~N~N~N~N~O[Mo](=O)(=O)O~O[Mo](=O)(=O)O~O[Mo](=O)(=O)O~O=[Mo](=O)=O~O=[Mo](=O)=O~O=[Mo](=O)=O~O=[Mo](=O)=O
ammonium paramolybdate *4h2o	1	empty
ammonium perchlorate	30	Cl(=O)(=O)(=O)[O-]~[NH4+]
ammonium peroxodisulfate	29	[NH4+]~[NH4+]~[O-]S(=O)(=O)OOS(=O)(=O)[O-]
ammonium peroxomolybdate	1	empty
ammonium peroxydisulfate	144	S(=O)(=O)([O-])OOS(=O)(=O)[O-]~[NH4+]~[NH4+]
ammonium perruthenate	1	[Ru](=O)(=O)(=O)[O-]~[NH4+]
ammonium persulfate	39	S(=O)(=O)([O-])OOS(=O)(=O)[O-]~[NH4+]~[NH4+]
ammonium phosphate monobasic	33	[NH4+]~OP(=O)(O)[O-]
ammonium phosphinate	1	[PH2]([O-])=O~[NH4+]
ammonium phosphite	10	P([O-])([O-])[O-]~[NH4+]~[NH4+]~[NH4+]
ammonium polysulfide	52	empty
ammonium polysulfide solution	21	empty
ammonium propionate	4	C(CC)(=O)[O-]~[NH4+]
ammonium salicylate	9	C(C=1C(O)=CC=CC1)(=O)[O-]~[NH4+]
ammonium salt of hypophosphorous acid	1	empty
ammonium salts	1	empty
ammonium sodium phosphate	1	P(=O)([O-])([O-])O~[Na+]~[NH4+]
ammonium sulfate	494	S(=O)(=O)([O-])[O-]~[NH4+]~[NH4+]
ammonium sulfite	19	S(=O)([O-])[O-]~[NH4+]~[NH4+]
ammonium sulphamate	12	S(N)([O-])(=O)=O~[NH4+]
ammonium tartrate	26	C(=O)([O-])C(O)C(O)C(=O)[O-]~[NH4+]~[NH4+]
ammonium tetrafluoroborate	1	F[B-](F)(F)F~[NH4+]
ammonium tetrathiomonomolybdate	2	empty
ammonium thiocyanate	11	[S-]C#N~[NH4+]
ammonium thiosulphate	17	S(=S)(=O)([O-])[O-]~[NH4+]~[NH4+]
ammonium tosylate	6	S(=O)(=O)([O-])C1=CC=C(C)C=C1~[NH4+]
ammonium trifluoroacetate	3	FC(C(=O)[O-])(F)F~[NH4+]
ammoniumpoly sulfite	1	empty
amorphous milled cellulose sulfonic acid (amcell-so3h)	12	empty
amorphous silicon	1	empty
ampa resin	22	empty
amperlite ir 120(h) resin	1	empty
amphiphilic co-polymer	1	empty
amphiphilic silica nano particles	4	empty
amphos	30	CC(CC1=CC=CC=C1)N~OP(=O)(O)O
ampso	1	CC(C)(CO)NCC(CS(=O)(=O)O)O
amyl alcohole	1	empty
amyl nitrate	1	[N+](=O)(OCCCCC)[O-]
an2teo	7	empty
anaion exchange resin ira-400(oh-)	1	empty
anbx	39	empty
angeli?s salt	25	empty
anhydrides of formic acid	1	empty
anhydrous 2,2,2-trifluoroethylamine	3	empty
anhydrous 4,4'-bipyridyl	57	empty
anhydrous aluminium sulphate	28	empty
anhydrous ammonium carbamate	5	empty
anhydrous ammonium carbonate	110	empty
anhydrous ammonium hydrogen sulfate	1	empty
anhydrous ammonium sulfite	8	empty
anhydrous amyl acetate	1	empty
anhydrous butyl ether	1659	empty
anhydrous cadmium carbonate	116	empty
anhydrous calcium acetate	32	empty
anhydrous calcium nitrate	2	[N+](=O)([O-])[O-]~[N+](=O)([O-])[O-]~[Ca+2]
anhydrous carbonate	8	empty
anhydrous chromium(iii) chloride	41	[Cl-]~[Cl-]~[Cl-]~[Cr+3]
anhydrous cobalt diacetate	420	empty
anhydrous copper acetate	736	empty
anhydrous copper nitrate	5	empty
anhydrous copper sulphate	115	empty
anhydrous cyanic acid	1	empty
anhydrous cyanoacetic acid	2	empty
anhydrous cyclopropylamine	1	empty
anhydrous dichloroethane	455	empty
anhydrous dichlorophenol	2	empty
anhydrous diethyl succinate	1	empty
anhydrous diethylamine hydrochloride	32	empty
anhydrous difluoromethane	1	empty
anhydrous dimethylaminoethanol	4	empty
anhydrous dipotassium phosphate	14	empty
anhydrous guanidine	68	empty
anhydrous hcl or none	1	empty
anhydrous heptafluorobutyric acid	47	empty
anhydrous iron chloride	4642	empty
anhydrous l-lysine monohydrochloride	4	empty
anhydrous lithium acetate	866	[Li+]~CC(=O)[O-]
anhydrous lithium nitrate	19	empty
anhydrous magnesium carbonate	22	C(=O)([O-])[O-]~[Mg+2]
anhydrous magnesium hydroxide	4	empty
anhydrous magnesium perchlorate	677	[O-]Cl(=O)(=O)=O~[O-]Cl(=O)(=O)=O~[Mg+2]
anhydrous methoxyethanol	7	empty
anhydrous methyl chloride	13	empty
anhydrous methylsilane	4	empty
anhydrous n,n-diethylformamide	7	empty
anhydrous nickel	2	empty
anhydrous palladium	22	empty
anhydrous phosphate	7	empty
anhydrous phosphine	85	empty
anhydrous phosphorous acid	1	empty
anhydrous potassium sulfate	61	empty
anhydrous potassium sulfite	23	empty
anhydrous potassium trifluoroacetate	90	empty
anhydrous potassium trimethylsilanolate	605	empty
anhydrous propionitrile	375	empty
anhydrous silver	18	empty
anhydrous sodium benzoate	236	empty
anhydrous sodium borate	211	empty
anhydrous sodium oxalate	42	empty
anhydrous sodium pyrophosphate	18	empty
anhydrous sulfurous acid	23	empty
anhydrous sulphate	8	empty
anhydrous tetraethylammonium acetate	56	empty
anhydrous tetramethylammonium acetate	18	empty
anhydrous tetramethylammonium chloride	180	empty
anhydrous trichlorobenzene	19	empty
anhydrous trifluoroacetaldehyde	1	empty
anhydrous trifluoromethanesulfonate	16	empty
anhydrous triisopropyl orthoformate	3	empty
anhydrous trisodium citrate	9	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O~[Na+]~[Na+]~[Na+]
anhydrous xylene	3251	empty
anhydrous zinc	6	empty
anhydrous zinc sulfate	23	empty
aniline	294	NC1=CC=CC=C1
aniline hydrochloric acid	32	Cl~NC1=CC=CC=C1
aniline monosodium salt	4	[Na]~NC1=CC=CC=C1
aniline prolinamide	3	N1[C@@H](CCC1)C(=O)N~NC1=CC=CC=C1
aniline*zncl2	2	empty
anilinium hypophosphorous salt	23	empty
anilinium p-toluenesulfinate	1	CC1=CC=C(C=C1)S(=O)[O-]~[NH3+]C1=CC=CC=C1
anion exchange amberlite ira-401 resin	7	empty
anion exchange amberlite resin ira-401 (oh- form)	3	empty
anion exchange column (bf4--form)	2	empty
anion exchange resin	4	empty
anion exchange resin (dowex-1-x8)	1	empty
anion exchange resin sephadex a25	1	empty
anion exchanger column (dowex 1-x8)	1	empty
anion-exchange resin	1	empty
anion-exchange resin ( amberlite irn-78, oh- form)	2	empty
anion-exchange resin (amberlite irn-78, oh- form)	2	empty
anion-exchange resin (amberlite-78, oh- form)	3	empty
anion-exchange resin ira-400	1	empty
anion-exchanger	17	empty
anion-exchanger ( carbonate form)	1	empty
anion-exchanger in hydroxide ion form	1	empty
anionenexchanger	1	empty
anionic [nido-7,8-c2b9h11]--tag ru carbene complex	10	empty
anionic exchange resin br(1-) form	1	empty
anionic exchange resin cl(1-) form	4	empty
anionic exchange resin i(1-) form	1	empty
anionic zirconocene trihydride salt	1	empty
anisic acid	1	C(C1=CC=C(C=C1)OC)(=O)O
anisidine	1	COC1=CC=C(C=C1)N
anisidinium triflate	1	[O-]S(=O)(=O)C(F)(F)F~COC1=CC=C(C=C1)[NH3+]
anisole bromide	1	[Br-]~C1(=CC=CC=C1)OC
annogen	5	C1=CC=C(C=C1)S(=O)(=O)[N-]Cl~[Na+]
anodic oxidation	2	empty
"ansa-bridged-me2si(cp"")2ndch(tms)2"	1	empty
anthracen-9-yl acetate	1	C(C)(=O)OC=1C2=CC=CC=C2C=C2C=CC=CC12
anthracen-9-ylmethyl ((s)-1-(3-((s)-((1s,2s,4s,5r)-5-ethylquinuclidin-2-yl)(6-methoxyquinolin-4-yl)methyl)ureido)-2,2-dimethylpropyl)carbamate	17	empty
anthracene	52	C1=CC=CC2=CC3=CC=CC=C3C=C12
anthracene radical anion	2	empty
anthracene-9,10-diimine	1	C1=CC=CC=2C(C3=CC=CC=C3C(C12)=N)=N
anthracene-9-carbonitrile	7	C1=CC=CC2=CC3=CC=CC=C3C(=C12)C#N
anthracenebisresorcinol(4-)*2lt;zr(otbu)2gt;	1	empty
anthranilic acid	21	C(C=1C(N)=CC=CC1)(=O)O
anthraquinone-1-sulphonic acid sodium salt	2	[Na+]~C1(=CC=CC=2C(C3=CC=CC=C3C(C12)=O)=O)S(=O)(=O)[O-]
anthraquinone-2-sulfonic acid sodium salt	62	[Na+]~C1=C(C=CC=2C(C3=CC=CC=C3C(C12)=O)=O)S(=O)(=O)[O-]
anti-(2,7)-(sicyoctnap)pd(cin)cl	23	empty
anti-3,3,3-trifluoro-2-(hydroxy(phenyl)methyl)propanoic acid	1	empty
anti-5,4-diphenyl pybox	9	empty
anti-histidine	4	empty
anti-pentane-2,4-diol	7	empty
antibody 13d6.1	1	empty
antibody 13g5 fab*6-glutaramidebenzimidazolium	1	empty
antibody 15g12	1	empty
antibody 16e7	3	empty
antibody 20b11	2	empty
antibody 24h6	9	empty
antibody 30c6	1	empty
antibody 34e4	11	empty
antibody 38c2	7	empty
antibody 3g2	6	empty
antibody 43d4-3d12	2	empty
antibody 50d8	2	empty
antibody 5a9	1	empty
antibody 5h7	2	empty
antibody 7g12	6	empty
antibody 93f3 from mice	2	empty
antibody ftb8e9	1	empty
antibody npn43c9	7	empty
antibody preparation 270-26	1	empty
antibody sz-cis-42f7	1	empty
antifoam a	3	empty
antimony	1	[Sb]
antimony dichloride trifluoride	18	[Sb](F)(F)(F)(Cl)Cl
antimony pentachloride	6	[Sb](Cl)(Cl)(Cl)(Cl)Cl
antimony pentafluoride	8	[Sb](F)(F)(F)(F)F
antimony trichloride	139	[Sb](Cl)(Cl)Cl
antimony(iii) chloride	1	[Sb](Cl)(Cl)Cl
antimony(iii) fluoride	1	[Sb](F)(F)F
antimony(iii) iodide	3	[Sb](I)(I)I
antimony(iii)tribromide	17	[Sb](Br)(Br)Br
antimony(v) fluoride decaethanolate	1	C(C)[O-]~C(C)[O-]~C(C)[O-]~C(C)[O-]~C(C)[O-]~C(C)[O-]~C(C)[O-]~C(C)[O-]~C(C)[O-]~C(C)[O-]~[Sb](F)(F)(F)(F)F
antimony(v) fluoride pentanmethanolate	5	empty
antimony(v) pentachloride	340	[Sb](Cl)(Cl)(Cl)(Cl)Cl
aoi reagent	4	CN1CC[N+](=C1N2C3=C(N=CC=C3)[N+](=N2)[O-])C~F[P-](F)(F)(F)(F)F
aondaueuuoadooo	1	empty
aop	17	CN(C)[P+](N(C)C)(N(C)C)ON1C2=C(C=CC=N2)N=N1~F[P-](F)(F)(F)(F)F
apb	1	empty
apmsn	1	empty
apo	1	empty
apo-riboflavin binding protein from gallus gallus (chicken) complex with 1,3,5-triethyl-5,10-dihydroalloxazine	3	empty
apo-riboflavin binding protein from gallus gallus (chicken) complex with 1,3,5-triethyl-7,8-dimethyl-5,10-dihydroalloxazine	1	empty
apo-riboflavin binding protein from gallus gallus (chicken) complex with 5-ethyl-1,3,7,8-tetramethyl-5,10-dihydroalloxazine	1	empty
apo-riboflavin binding protein from gallus gallus (chicken) complex with 5-ethyl-1,5-dihydroriboflavin	2	empty
apts	25	empty
apts*h2o	1	empty
aq. 10percent hcl	4	empty
aq. 10percent na2co3	2	empty
aq. 10percent naoh	56	empty
aq. 1percent h2so4	15	empty
aq. 20percent naoh	1	empty
aq. 24percent hbr	2	empty
aq. 30percent nh3	4	empty
aq. 48percent hbr	1	empty
aq. 61	1	empty
aq. 6percent naoh	1	empty
aq. 80percent acoh	1	empty
aq. [15n]-nh4oh	1	empty
aq. acetate buffer	80	empty
aq. acid	40	empty
aq. alkali	52	empty
aq. ammonia	1	empty
aq. aoh	1	empty
aq. ba(oh)2	1	empty
aq. base	11	empty
aq. buffer	328	empty
aq. buffer (ph=4.5)	2	empty
aq. caesium hydroxide	1	empty
aq. ce(iv)	6	empty
aq. csco3	5	empty
aq. ethanol	5	empty
aq. fe(3+) or	1	empty
aq. h2o2	3	empty
aq. hcl	11	empty
aq. hco2nh3	3	empty
aq. hno3	2	empty
aq. kaco3	9	empty
aq. koh	7	empty
aq. koh (5percent)	1	empty
aq. linaoh	1	empty
aq. lioh dihydrate	1	empty
aq. mecn	1	empty
aq. mh4oh	1	empty
aq. mmpp	9	empty
aq. mn(clo4)2*6h2o	1	empty
aq. naco3	9	empty
aq. nahco3	1	empty
aq. nahco4	1	empty
aq. naocl	3	empty
aq. naoh	14	empty
aq. naoh or triethylamine	1	empty
aq. naon	1	empty
aq. nbunf	1	empty
aq. nco2nh4	4	empty
aq. nh3	6	empty
aq. nh4cl	1	empty
aq. nh4oh	4	empty
aq. oleum	1	empty
aq. pbs	1	empty
aq. phosphate buffer	1491	empty
aq. sodium phosphite	4	empty
aq. teaa	1	empty
aq. thf	1	empty
aq.-ethanolic solution	2	empty
aq.-ethanolic solution of ph 6.5-8	1	empty
aq.alkali	1	empty
aq.ammonium hydroxide	2	empty
aq.ch3n	1	empty
aq.koh	1	empty
aq.naoh, n2	1	empty
aq.nh3	2	empty
aqn(dhqd)2	1	empty
aqua regia	20	[N+](=O)(O)[O-]~Cl~Cl~Cl
aqueous acid	5	empty
aqueous alkali	25	empty
aqueous alkaline solution<20 percent >	1	empty
aqueous ammonia	1	N
aqueous buffer	1	empty
aqueous hydrofluoroboric acid	1	empty
aqueous micellar solution of tween 20	1	empty
aqueous na2s2o4	1	empty
aqueous nacl	1	empty
aqueous naco3	2	empty
aqueous oic acid	2	empty
aqueous phosphate buffer	1	empty
aqueous sodium disulfite solution	2	empty
aqueous sodium tetrafluoroborate	3	empty
aqueous solution	6	empty
aqueous solution (ph 7.6)	1	empty
aqueous solution <ph 9>	1	empty
aqueous solution of ph 1-5	1	empty
aqueous solution of ph 3	1	empty
aqueous solution of ph 3-3.5	1	empty
aqueous solution of ph 7,6	1	empty
aqueous solution of ph 9.7	1	empty
aqueous-alcoholic alkali	1	empty
ar matrix	2	empty
ar3n(1+)*sbcl6(1-)	3	empty
arachno-[(eta5-c5me5ruco)2b2h6]	3	empty
arcl2-pmpbox 2c	1	empty
arenesulfenyl chloride	1	empty
arenesulfonic acid functionalized ethyl-bridged organosilica hollow nanosphere si(et)si-arso3h-hns7.6	2	empty
argentic oxide	170	[O-2]~[Ag+2]
argentum(i) chloride	2	empty
argogel	4	empty
argon	26	[Ar]
aromatic aldehyde	1	C1=CC=C(C=C1)C=O
aromatic hydrocarbon	2	empty
aroyl chloride of the 2percent-cross-linked merrifield polymer	2	empty
arpdi(p(c6h5)3)2	3	empty
arpyphos	3	empty
arquad 2ht	3	empty
arquerite	1	empty
arsenic pentafluoride,	3	empty
arsenic pentoxide	2	O=[As](=O)O[As](=O)=O
arsenic trichloride	17	[As](Cl)(Cl)Cl
arsenic trihydride	1	[AsH3]
arsenic(iii) bromide	12	[As](Br)(Br)Br
arsenic(iii) chloride	67	[As](Cl)(Cl)Cl
arsenic(iii) iodide	2	[As](I)(I)I
arsenochloridous acid diethyl ester	5	C(C)O[As](OCC)Cl
arsonated polystyrene resin	1	empty
arthrobacter	1	empty
aryl halide	1	empty
aryl magnesium halide	2	empty
aryl-substituted (s)-binol-derived n-triflyl phosphoramide	1	empty
arylboronic acid	1	empty
as(c6h5)3	14	C1=CC=C(C=C1)[As](C2=CC=CC=C2)C3=CC=CC=C3
as(nme2)3	2	empty
as2o3	32	O1[As]2O[As]3O[As]1O[As](O2)O3
asarone-derived ru carbene	8	empty
ascaridole	30	CC(C)C12CCC(C=C1)(OO2)C
asch-	5	empty
ascorbate	22	O=C1C(O)=C([O-])[C@H](O1)[C@@H](O)CO
ascorbate radical	1	C([C@@H]([C@@H]1C(=O)C(=C(O1)[O])O)O)O
ascorbic acid	14	O=C1C(O)=C(O)[C@H](O1)[C@@H](O)CO
ascorbic acid or nabh4 or naooch	2	empty
ascorbic acid powder	592	empty
ascorbic acid sodium salt	58	[Na+]~O=C1C(O)=C([O-])[C@H](O1)[C@@H](O)CO
ash6(3+)*cl(1-)	1	empty
ashlglar	1	empty
asi2(1+)*c6h6	5	empty
asno	1	empty
aso3scf3	1	empty
asp1-arg2-val3-tyr4-ile5-his6-pro7-phe8	1	CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)N
asp3	1	empty
aspergillus flavipes	1	empty
aspergillus flavus	2	empty
aspergillus fumigatus easa	1	empty
aspergillus fumigatus easg	2	empty
aspergillus giganteus (atcc 10059)	1	empty
aspergillus japonicus eash	2	empty
aspergillus nidulans a1145 carrying vector pkw10007 expressig pynh domain of protein from aspergillus niger a1179 strain	1	empty
aspergillus niger	2	empty
aspergillus oryzae nsar1 transformant expressing adra gene	2	empty
aspergillus oryzae nsar1 transformant expressing ctr-p450  gene	3	empty
aspergillus ustus atcc: 36063	1	empty
asph3	3	C1=CC=C(C=C1)[As](C2=CC=CC=C2)C3=CC=CC=C3
asymmetric dihydroxylation-mix-alpha	5	empty
asymmetric dihydroxylation-mix-beta	4	empty
asymmetric ru binol catalyst	7	empty
atc buffer	7	empty
ate buffer (0.1 m aces, 0.052 m tris, and 0.052 m ethanolamine)	1	empty
ath2(1+)*ho(1-)	4	empty
atho	2	empty
atp	2	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
atp disodium salt	3	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)([O-])OP(=O)(O)[O-])O)O)N~[Na+]~[Na+]
atp magnesium salt	1	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)([O-])OP(=O)(O)[O-])O)O)N~[Mg+2]
atph	151	C1=CC=C(C=C1)C2=C(C(=CC=C2)C3=CC=CC=C3)O[Al](OC4=C(C=CC=C4C5=CC=CC=C5)C6=CC=CC=C6)OC7=C(C=CC=C7C8=CC=CC=C8)C9=CC=CC=C9
au	46	[Au]
au colloid	2	empty
au electrode	2	empty
au nanoparticle	1	empty
au nanoparticles	2	empty
au nanoparticles covalently bonded to hs/so3h functionalized periodic mesoporous organosilica (et)	15	empty
